0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,11,88,0,058,0
0,32,11,88,0,058,0
0,42,11,88,0,058,0
0,52,11,88,0,058,0
0,62,11,88,0,058,0
0,72,11,88,0,058,0
0,82,11,88,0,058,0
0,92,11,88,0,058,0
1,02,11,88,0,058,0
1,12,11,88,0,058,0
1,22,11,88,0,058,0
1,32,11,88,0,058,0
1,42,11,88,0,058,0
1,52,11,88,0,058,0
1,62,11,88,0,058,0
1,72,11,88,0,058,0
1,82,11,88,0,058,0
1,92,11,88,0,058,0
2,02,11,88,0,058,0
2,12,11,88,0,058,0
2,22,11,88,0,058,0
2,32,11,88,0,058,0
2,42,11,88,0,058,0
2,52,11,88,0,058,0
2,62,11,88,0,058,0
2,72,11,88,0,058,0
2,82,11,88,0,058,0
2,92,11,88,0,058,0
3,02,11,88,0,058,0
3,12,11,88,0,058,0
3,22,11,88,0,058,0
3,32,11,88,0,058,0
3,42,11,88,0,058,0
3,52,11,88,0,058,0
3,62,11,88,0,058,0
3,72,11,88,0,058,0
3,82,11,88,0,058,0
3,92,11,88,0,058,0
4,02,11,88,0,058,0
4,12,11,88,0,058,0
4,22,11,88,0,058,0
4,32,11,88,0,058,0
4,42,11,88,0,058,0
4,52,11,88,0,058,0
4,62,11,88,0,058,0
4,72,11,88,0,058,0
4,82,11,88,0,058,0
4,92,11,88,0,058,0
5,02,11,88,0,058,0
5,12,11,88,0,058,0
5,22,11,88,0,058,0
5,32,11,88,0,058,0
5,42,11,88,0,058,0
5,52,11,88,0,058,0
5,62,11,88,0,058,0
5,72,11,88,0,058,0
5,82,11,88,0,058,0
5,92,11,88,0,058,0
6,02,11,88,0,058,0
6,12,11,88,0,058,0
6,22,11,88,0,058,0
6,32,11,88,0,058,0
6,42,11,88,0,058,0
6,52,11,88,0,058,0
6,62,11,88,0,058,0
6,72,11,88,0,058,0
6,82,11,88,0,058,0
6,92,11,88,0,058,0
7,02,11,88,0,058,0
7,12,11,88,0,058,0
7,22,11,88,0,058,0
7,32,11,88,0,058,0
7,42,11,88,0,058,0
7,52,11,88,0,058,0
7,62,11,88,0,058,0
7,72,11,88,0,058,0
7,82,11,88,0,058,0
7,92,11,88,0,058,0
8,02,11,88,0,058,0
8,12,11,88,0,058,0
8,22,11,88,0,058,0
8,32,11,88,0,058,0
8,42,11,88,0,058,0
8,52,11,88,0,058,0
8,62,11,88,0,058,0
8,72,11,88,0,058,0
8,82,11,88,0,058,0
8,92,11,88,0,058,0
9,02,11,88,0,058,0
9,12,11,88,0,058,0
9,22,11,88,0,058,0
9,32,11,88,0,058,0
9,42,11,88,0,058,0
9,52,11,88,0,058,0
9,62,11,88,0,058,0
9,719999,11,88,0,058,0
9,82,11,88,0,058,0
9,92,11,88,0,058,0
10,02,11,88,0,058,0
10,12,11,88,0,058,0
10,22,11,88,0,058,0
10,32,11,88,0,058,0
10,42,11,88,0,058,0
10,52,11,88,0,058,0
10,62,11,88,0,058,0
10,72,11,88,0,058,0
10,82,11,88,0,058,0
10,92,11,88,0,058,0
11,02,11,88,0,058,0
11,12,11,88,0,058,0
11,22,11,88,0,058,0
