0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,11,88,0,058,0
0,32,11,88,0,058,0
0,42,11,88,0,058,0
0,52,11,88,0,058,0
0,62,11,88,0,058,0
0,72,11,88,0,058,0
0,82,11,88,0,058,0
0,92,11,88,0,058,0
1,02,11,88,0,058,0
1,12,11,88,0,058,0
1,22,11,88,0,058,0
1,32,11,88,0,058,0
1,42,11,88,0,058,0
1,5,11,88,0,058,0
1,6,11,88,0,058,0
1,7,11,88,0,058,0
1,8,11,88,0,058,0
1,9,11,88,0,058,0
2,11,88,0,058,0
2,1,11,88,0,058,0
2,2,11,88,0,058,0
2,3,11,88,0,058,0
2,4,11,88,0,058,0
2,5,11,88,0,058,0
2,6,11,88,0,058,0
2,7,11,88,0,058,0
2,8,11,88,0,058,0
2,9,11,88,0,058,0
3,11,88,0,058,0
3,1,11,88,0,058,0
3,2,11,88,0,058,0
3,3,11,88,0,058,0
3,4,11,88,0,058,0
3,5,11,88,0,058,0
3,6,11,88,0,058,0
3,7,11,88,0,058,0
3,8,11,88,0,058,0
3,9,11,88,0,058,0
4,11,88,0,058,0
4,1,11,88,0,058,0
4,2,11,88,0,058,0
4,3,11,88,0,058,0
4,4,11,88,0,058,0
4,5,11,88,0,058,0
4,6,11,88,0,058,0
4,7,11,88,0,058,0
4,8,11,88,0,058,0
4,88,11,88,0,058,0
4,98,11,88,0,058,0
5,08,11,88,0,058,0
5,18,11,88,0,058,0
5,28,11,88,0,058,0
5,38,11,88,0,058,0
5,48,11,88,0,058,0
5,58,11,88,0,058,0
5,68,11,88,0,058,0
5,78,11,88,0,058,0
5,88,11,88,0,058,0
5,98,11,88,0,058,0
6,08,11,88,0,058,0
6,18,11,88,0,058,0
6,28,11,88,0,058,0
6,38,11,88,0,058,0
6,48,11,88,0,058,0
6,58,11,88,0,058,0
6,68,11,88,0,058,0
6,78,11,88,0,058,0
6,88,11,88,0,058,0
6,98,11,88,0,058,0
7,08,11,88,0,058,0
7,18,11,88,0,058,0
7,28,11,88,0,058,0
7,38,11,88,0,058,0
7,48,11,88,0,058,0
7,58,11,88,0,058,0
7,68,11,88,0,058,0
7,78,11,88,0,058,0
7,88,11,88,0,058,0
7,98,11,88,0,058,0
8,08,11,88,0,058,0
8,179999,11,88,0,058,0
8,28,11,88,0,058,0
8,38,11,88,0,058,0
8,48,11,88,0,058,0
8,58,11,88,0,058,0
8,679999,11,88,0,058,0
8,78,11,88,0,058,0
8,88,11,88,0,058,0
8,98,11,88,0,058,0
9,08,11,88,0,058,0
9,179999,11,88,0,058,0
9,28,11,88,0,058,0
9,38,11,88,0,058,0
9,48,11,88,0,058,0
9,58,11,88,0,058,0
9,679999,11,88,0,058,0
9,78,11,88,0,058,0
9,88,11,88,0,058,0
9,98,11,88,0,058,0
10,08,11,88,0,058,0
10,18,11,88,0,058,0
10,28,11,88,0,058,0
10,36,11,88,0,058,0
10,46,11,88,0,058,0
10,56,11,88,0,058,0
10,66,11,88,0,058,0
10,76,11,88,0,058,0
10,86,11,88,0,058,0
10,96,11,88,0,058,0
11,06,11,88,0,058,0
11,16,11,88,0,058,0
11,26,11,88,0,058,0
11,36,11,88,0,058,0
11,46,11,88,0,058,0
11,56,11,88,0,058,0
11,66,11,88,0,058,0
11,76,11,88,0,058,0
11,86,11,88,0,058,0
11,94,11,88,0,058,0
12,04,11,88,0,058,0
12,14,11,88,0,058,0
12,24,11,88,0,058,0
12,34,11,88,0,058,0
12,44,11,88,0,058,0
12,54,11,88,0,058,0
12,64,11,88,0,058,0
12,74,11,88,0,058,0
12,84,11,88,0,058,0
12,94,11,88,0,058,0
13,04,11,88,0,058,0
13,14,11,88,0,058,0
13,24,11,88,0,058,0
13,34,11,88,0,058,0
13,44,11,88,0,058,0
13,54,11,88,0,058,0
13,64,11,88,0,058,0
13,74,11,88,0,058,0
13,84,11,88,0,058,0
13,92,11,88,0,058,0
14,02,11,88,0,058,0
14,12,11,88,0,058,0
14,22,11,88,0,058,0
14,32,11,88,0,058,0
14,42,11,88,0,058,0
14,52,11,88,0,058,0
14,62,11,88,0,058,0
14,72,11,88,0,058,0
14,82,11,88,0,058,0
14,92,11,88,0,058,0
15,02,11,88,0,058,0
15,12,11,88,0,058,0
