0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,11,88,0,058,0
0,32,11,88,0,058,0
0,4,11,88,0,058,0
0,5,11,88,0,058,0
0,6,11,88,0,058,0
0,7,11,88,0,058,0
0,8,11,88,0,058,0
0,88,11,88,0,058,0
0,98,11,88,0,058,0
1,08,11,88,0,058,0
1,16,11,88,0,058,0
1,26,11,88,0,058,0
1,36,11,88,0,058,0
1,44,11,88,0,058,0
1,54,11,88,0,058,0
1,64,11,88,0,058,0
1,74,11,88,0,058,0
1,84,11,88,0,058,0
1,94,11,88,0,058,0
2,04,11,88,0,058,0
2,12,11,88,0,058,0
2,22,11,88,0,058,0
2,32,11,88,0,058,0
2,42,11,88,0,058,0
2,52,11,88,0,058,0
2,6,11,88,0,058,0
2,7,11,88,0,058,0
2,8,11,88,0,058,0
2,88,11,88,0,058,0
2,98,11,88,0,058,0
3,08,11,88,0,058,0
3,18,11,88,0,058,0
3,28,11,88,0,058,0
3,38,11,88,0,058,0
3,48,11,88,0,058,0
3,58,11,88,0,058,0
3,68,11,88,0,058,0
3,76,11,88,0,058,0
3,86,11,88,0,058,0
3,96,11,88,0,058,0
4,04,11,88,0,058,0
4,14,11,88,0,058,0
4,24,11,88,0,058,0
4,34,11,88,0,058,0
4,44,11,88,0,058,0
4,54,11,88,0,058,0
4,62,11,88,0,058,0
4,72,11,88,0,058,0
4,82,11,88,0,058,0
4,92,11,88,0,058,0
5,02,11,88,0,058,0
5,12,11,88,0,058,0
5,22,11,88,0,058,0
5,32,11,88,0,058,0
5,4,11,88,0,058,0
5,5,11,88,0,058,0
5,6,11,88,0,058,0
5,68,11,88,0,058,0
5,78,11,88,0,058,0
5,88,11,88,0,058,0
5,96,11,88,0,058,0
6,06,11,88,0,058,0
6,16,11,88,0,058,0
6,26,11,88,0,058,0
6,36,11,88,0,058,0
6,46,11,88,0,058,0
6,54,11,88,0,058,0
6,64,11,88,0,058,0
6,74,11,88,0,058,0
6,84,11,88,0,058,0
6,94,11,88,0,058,0
7,02,11,88,0,058,0
7,12,11,88,0,058,0
7,22,11,88,0,058,0
7,32,11,88,0,058,0
7,42,11,88,0,058,0
7,52,11,88,0,058,0
7,6,11,88,0,058,0
7,7,11,88,0,058,0
7,8,11,88,0,058,0
7,9,11,88,0,058,0
7,98,11,88,0,058,0
8,08,11,88,0,058,0
8,179999,11,88,0,058,0
8,28,11,88,0,058,0
8,38,11,88,0,058,0
8,46,11,88,0,058,0
8,559999,11,88,0,058,0
8,66,11,88,0,058,0
8,76,11,88,0,058,0
8,86,11,88,0,058,0
8,96,11,88,0,058,0
9,04,11,88,0,058,0
