0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,11,88,0,058,0
0,32,11,88,0,058,0
0,4,11,88,0,058,0
0,5,11,88,0,058,0
0,6,11,88,0,058,0
0,7,11,88,0,058,0
0,8,11,88,0,058,0
0,9,11,88,0,058,0
0,98,11,88,0,058,0
1,08,11,88,0,058,0
1,18,11,88,0,058,0
1,28,11,88,0,058,0
1,38,11,88,0,058,0
1,48,11,88,0,058,0
1,58,11,88,0,058,0
1,68,11,88,0,058,0
1,78,11,88,0,058,0
1,88,11,88,0,058,0
1,96,11,88,0,058,0
2,06,11,88,0,058,0
2,16,11,88,0,058,0
2,26,11,88,0,058,0
2,36,11,88,0,058,0
2,46,11,88,0,058,0
